Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q5_1	Q5_2	Q5_3	Q6	Q7P_1	Q7P_2	Q7P_3	Q7P_4	Q7S_1	Q7S_2	Q7S_3	Q7S_4	Q8_1	Q8_2	Q8_3	Q10	Q15	Q15_1	Q16	Q1	CODERESP
8	8	10	11	10	11	10	10	10	10	10	3	11	10	11	10	11	10	11	10	10	10	10	10	1	571
5	8	11	11	9	11	8	8	5	5	9	8	11	9	7	8	3	4	9	11	5	6	6	8	1	2
10	10	11	9	9	11	11	10	10	10	10	8	11	9	8	9	11	10	10	10	10	10	9	10	1	775
8	8	7	11	8	10	10	10	8	10	10	7	8	9	7	9	11	11	8	11	10	7	7	7	1	851
10	8	8	9	9	9	8	8	9	11	10	5	11	11	8	8	8	8	8	11	1	10	8	5	1	443
4	9	3	9	7	9	9	9	4	11	7	1	4	7	6	11	2	11	4	7	5	98	6	3	1	1284
1	1	1	4	1	2	1	2	2	11	5	5	11	1	3	1	11	2	4	11	5	2	1	3	1	239
10	10	10	11	10	10	10	10	10	10	10	9	11	9	7	10	6	8	8	11	10	10	8	8	1	499
10	10	10	10	10	10	10	10	10	10	10	8	11	8	9	9	11	9	9	11	10	10	10	9	1	1171
7	8	5	11	7	10	6	10	5	8	9	6	11	7	8	7	11	8	8	5	5	7	6	8	1	1231
9	10	11	11	10	10	10	9	8	10	10	10	11	10	8	10	2	7	10	8	10	8	8	7	1	859
10	10	9	11	10	10	10	10	10	10	10	7	11	10	9	10	11	9	10	10	10	8	10	10	1	135
8	9	8	9	8	7	7	7	6	8	10	10	11	11	8	8	6	11	8	9	10	10	10	10	1	70
10	10	9	10	10	8	8	10	10	10	10	10	8	8	7	7	7	10	11	11	10	10	10	5	1	605
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	10	10	10	1	1	1	136
7	8	7	7	8	1	1	1	8	8	7	8	8	7	6	7	5	11	11	7	8	8	8	6	1	877
9	9	8	8	11	8	7	8	9	10	8	6	9	8	7	8	11	9	9	9	10	8	8	8	1	1155
8	10	9	11	10	8	8	8	7	8	8	7	7	6	10	8	11	9	9	9	10	8	10	6	1	850
9	10	10	11	9	10	10	10	9	10	10	10	10	9	9	9	9	9	9	9	10	98	10	9	1	846
10	10	10	10	10	10	10	10	5	10	10	7	11	11	10	10	10	10	10	10	10	10	10	10	1	302
9	8	7	11	8	10	9	9	5	10	10	8	10	7	7	9	8	11	10	10	10	9	10	8	1	1061
6	7	7	7	7	6	6	6	6	6	6	6	11	5	5	5	5	5	5	11	10	7	10	10	1	634
10	10	6	8	8	10	10	10	9	9	9	9	11	10	8	10	11	10	10	10	10	10	10	10	1	126
9	10	8	7	8	9	10	10	8	10	9	6	8	8	8	9	11	8	8	10	10	9	10	9	1	450
9	9	11	9	9	10	10	10	9	9	10	7	10	9	5	10	5	5	9	8	5	9	8	8	1	1199
10	9	9	8	8	8	8	9	8	8	10	11	8	8	9	9	9	8	8	8	10	8	8	5	1	129
5	8	8	8	8	8	8	8	9	10	10	10	8	3	8	8	11	8	8	10	10	9	9	5	1	64
10	9	10	10	10	10	10	10	10	10	10	10	11	10	10	10	9	10	10	9	10	10	10	9	1	496
10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	1	1122
9	8	8	11	10	10	10	10	10	10	10	7	10	10	10	10	10	7	9	8	10	10	10	10	1	717
8	8	8	8	8	10	10	8	8	8	10	8	7	8	11	8	5	7	7	7	10	8	10	8	1	823
9	7	7	8	9	8	8	8	9	8	10	10	8	8	4	11	5	8	9	8	9	8	10	8	1	928
8	10	11	8	8	7	7	7	7	5	8	10	10	8	8	8	2	5	5	5	10	8	8	8	1	1200
7	9	6	11	9	10	8	8	9	8	10	10	8	8	6	8	8	7	10	8	5	10	9	8	1	1223
10	10	10	10	10	10	10	10	8	10	10	10	10	10	10	10	11	5	5	9	10	10	10	10	1	309
10	10	8	8	10	9	8	9	9	10	10	7	10	8	10	11	5	8	9	10	10	10	10	10	1	1105
10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	1	629
10	9	9	11	9	10	10	10	8	10	9	8	8	9	9	9	8	8	9	9	10	9	10	9	1	646
10	11	5	5	8	8	10	8	8	8	10	10	8	10	10	9	8	8	8	8	10	9	10	5	1	188
6	7	11	6	8	6	6	6	6	8	10	5	6	7	7	7	4	7	5	5	8	6	5	7	1	1183
10	10	10	10	10	8	10	10	10	10	10	10	10	10	8	10	11	10	10	10	10	10	10	10	1	1143
8	8	6	11	8	9	8	8	8	10	10	7	7	7	9	9	7	10	10	9	10	8	9	5	1	371
6	8	6	11	7	6	6	5	6	8	6	7	5	6	5	6	4	5	6	6	5	6	6	7	1	380
10	9	9	9	9	10	10	10	9	10	10	10	9	9	8	9	11	9	10	10	10	10	10	10	1	894
8	8	8	11	8	10	10	10	8	8	9	9	8	8	8	8	8	7	7	7	10	8	8	7	1	1047
9	10	10	10	10	9	10	10	9	8	9	9	11	10	8	8	9	9	10	10	10	10	10	9	1	464
6	8	6	7	8	10	10	10	8	10	9	7	8	10	7	8	6	7	8	6	10	8	8	8	1	276
10	10	10	10	10	10	10	10	10	10	10	5	10	10	10	10	10	10	10	10	10	10	10	5	1	700
9	9	8	8	9	5	5	5	10	8	7	9	8	8	7	10	7	7	7	8	10	8	8	6	1	1018
9	9	8	9	9	8	8	8	8	10	9	8	8	7	9	8	6	8	8	9	10	9	10	8	1	172
9	9	8	9	8	9	8	9	10	9	8	10	10	7	6	9	6	9	8	8	10	9	8	8	1	677
7	8	7	8	8	9	8	9	9	10	8	10	8	8	7	9	6	8	7	7	10	8	8	7	1	822
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	1013
8	8	7	7	8	8	8	8	8	8	8	8	8	8	7	8	7	8	8	8	10	10	8	8	1	40
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	9	9	9	1	195
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	1161
8	8	8	8	8	8	8	8	9	8	9	6	8	9	7	8	7	7	8	7	8	7	7	8	1	22
5	10	6	7	8	10	10	10	7	9	10	8	7	8	8	5	3	8	8	8	8	8	8	8	1	908
8	8	8	8	9	7	7	7	8	9	8	8	8	9	9	9	8	7	9	8	7	8	8	7	1	209
