Manifest	image	expect	prodq	servq	value	epsi	loyal
Q3	0	0	0	0	0	-1	0
Q4_1	-1	0	0	0	0	0	0
Q4_2	-1	0	0	0	0	0	0
Q4_3	-1	0	0	0	0	0	0
Q4_4	-1	0	0	0	0	0	0
Q5_1	0	-1	0	0	0	0	0
Q5_2	0	-1	0	0	0	0	0
Q5_3	0	-1	0	0	0	0	0
Q6	0	0	0	0	0	-1	0
Q7P_1	0	0	-1	0	0	0	0
Q7P_2	0	0	-1	0	0	0	0
Q7P_3	0	0	-1	0	0	0	0
Q7P_4	0	0	-1	0	0	0	0
Q7S_1	0	0	0	-1	0	0	0
Q7S_2	0	0	0	-1	0	0	0
Q7S_3	0	0	0	-1	0	0	0
Q7S_4	0	0	0	-1	0	0	0
Q8_1	0	0	0	0	-1	0	0
Q8_2	0	0	0	0	-1	0	0
Q8_3	0	0	0	0	-1	0	0
Q10	0	0	0	0	0	0	-1
Q15	0	0	0	0	0	0	-1
Q15_1	0	0	0	0	0	0	-1
Q16	0	0	0	0	0	-1	0
